q_id,lo_id,difficulty,irt_a,irt_b,irt_c,text
Q0001,LO02,Medium,1.217,0.025,0.149,Stem for LO02 (Medium) #1
Q0002,LO27,Easy,0.934,-1.041,0.225,Stem for LO27 (Easy) #2
Q0003,LO04,Hard,1.284,0.556,0.241,Stem for LO04 (Hard) #3
Q0004,LO18,Easy,1.373,-1.173,0.069,Stem for LO18 (Easy) #4
Q0005,LO03,Hard,0.75,0.777,0.083,Stem for LO03 (Hard) #5
Q0006,LO03,Easy,1.315,-1.27,0.197,Stem for LO03 (Easy) #6
Q0007,LO08,Easy,0.539,-0.844,0.202,Stem for LO08 (Easy) #7
Q0008,LO01,Easy,0.813,-0.176,0.229,Stem for LO01 (Easy) #8
Q0009,LO24,Easy,1.021,-1.43,0.086,Stem for LO24 (Easy) #9
Q0010,LO20,Medium,0.813,0.395,0.22,Stem for LO20 (Medium) #10
Q0011,LO13,Hard,0.711,1.212,0.1,Stem for LO13 (Hard) #11
Q0012,LO10,Easy,0.74,-0.952,0.205,Stem for LO10 (Easy) #12
Q0013,LO08,Medium,1.565,-0.068,0.157,Stem for LO08 (Medium) #13
Q0014,LO25,Easy,1.002,-0.821,0.146,Stem for LO25 (Easy) #14
Q0015,LO14,Hard,1.093,1.236,0.092,Stem for LO14 (Hard) #15
Q0016,LO05,Easy,1.26,-0.915,0.114,Stem for LO05 (Easy) #16
Q0017,LO08,Medium,1.36,0.116,0.156,Stem for LO08 (Medium) #17
Q0018,LO20,Hard,1.115,-0.459,0.144,Stem for LO20 (Hard) #18
Q0019,LO06,Easy,1.143,-1.465,0.06,Stem for LO06 (Easy) #19
Q0020,LO28,Medium,1.673,-0.001,0.209,Stem for LO28 (Medium) #20
Q0021,LO11,Easy,1.039,-1.401,0.178,Stem for LO11 (Easy) #21
Q0022,LO23,Hard,0.923,0.703,0.142,Stem for LO23 (Hard) #22
Q0023,LO01,Easy,0.915,-1.042,0.129,Stem for LO01 (Easy) #23
Q0024,LO05,Medium,0.688,0.442,0.182,Stem for LO05 (Medium) #24
Q0025,LO28,Medium,1.133,0.185,0.119,Stem for LO28 (Medium) #25
Q0026,LO17,Medium,1.112,0.253,0.14,Stem for LO17 (Medium) #26
Q0027,LO06,Hard,0.909,0.807,0.11,Stem for LO06 (Hard) #27
Q0028,LO11,Medium,1.394,-0.044,0.162,Stem for LO11 (Medium) #28
Q0029,LO29,Medium,1.036,0.052,0.134,Stem for LO29 (Medium) #29
Q0030,LO06,Medium,0.876,0.254,0.075,Stem for LO06 (Medium) #30
Q0031,LO20,Easy,1.201,-1.15,0.183,Stem for LO20 (Easy) #31
